bout_date,year,month,sex_cd,site_name,dive_time,success_cd,preytype_cd,prey_qty,preysize_cd,ageclass_cd,dive_num,visibility_cd,area_cd,bout_id,phylum
1993-04-17,1993,4,f,Inian,NA,y,cla,1,2z,a,1,un,SICY,19930417jlb1,Mollusca
1993-04-17,1993,4,f,Inian,96,y,cla,1,1z,a,2,un,SICY,19930417jlb1,Mollusca
1993-04-17,1993,4,f,Inian,70,y,pac,1,2z,a,3,un,SICY,19930417jlb1,Arthropoda
1993-04-17,1993,4,f,Inian,99,y,mas,2,2z,a,4,un,SICY,19930417jlb1,Mollusca
1993-04-17,1993,4,f,Inian,89,y,mas,3,1z,a,5,un,SICY,19930417jlb1,Mollusca
1993-04-17,1993,4,f,Inian,NA,y,ops,3,1z,a,6,un,SICY,19930417jlb1,Echinodermata
1993-04-17,1993,4,f,Inian,52,y,mas,2,9z,a,7,un,SICY,19930417jlb1,Mollusca
1993-04-17,1993,4,f,Inian,85,y,mas,4,1z,a,8,un,SICY,19930417jlb1,Mollusca
1993-04-17,1993,4,f,Inian,102,y,mas,4,2z,a,1,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,135,y,mas,3,2z,a,2,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,30,y,sag,2,2z,a,3,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,78,y,mas,3,1z,a,4,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,91,y,mas,4,1z,a,5,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,108,y,mas,3,1z,a,6,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,109,y,mas,4,1z,a,7,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,88,y,mas,3,1z,a,8,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,88,y,mas,1,2z,a,8,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,96,y,mas,3,2z,a,9,un,SICY,19930417jlb2,Mollusca
1993-04-17,1993,4,f,Inian,89,y,mas,1,1z,a,10,un,SICY,19930417jlb2,Mollusca
